,datasetKey,decimalLatitude,decimalLongitude,scientificName,taxonKey,TEMP,ZONE
Unnamed 0,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.649035,-97.393575,"Pareuchaetes insulata Walker, 1855",1806872,25,9b
Unnamed 1,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.649035,-97.393578,"Leucania incognita Barnes & McDunnough, 1918",5111141,25,9b
Unnamed 2,50c9509d-22c7-4a22-a47d-8c48425ef4a7,36.131969,-78.879358,"Lithobates palustris (LeConte, 1825)",2427056,5,7b
Unnamed 3,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.759824,-72.412041,"Orgyia leucostigma J.E.Smith, 1797",5925317,-10,6a
Unnamed 4,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.124934,-74.686957,"Branta canadensis (Linnaeus, 1758)",5232437,0,7a
Unnamed 5,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.08152,-81.094247,"Hemidactylus turcicus (Linnaeus, 1758)",5221528,15,8b
Unnamed 6,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.15985,-97.727515,"Cisthene subrufa Barnes & McDunnough, 1913",9290866,25,9b
Unnamed 7,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.159773,-97.727626,"Psamatodes abydata (Guenée, 1858)",9635418,25,9b
Unnamed 8,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.160164,-97.727455,"Hypena minualis Guenée, 1854",8150450,25,9b
Unnamed 9,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.15985,-97.727515,"Hymenia perspectalis (Hübner, 1796)",1886374,25,9b
Unnamed 10,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.61305,-83.553154,"Canis latrans Say, 1823",5219153,-5,6b
Unnamed 11,50c9509d-22c7-4a22-a47d-8c48425ef4a7,25.79683,-80.198905,"Hemidactylus platyurus (Schneider, 1797)",5816059,35,10b
Unnamed 12,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.31728,-83.086717,"Dolichovespula maculata (Linnaeus, 1763)",1311815,-5,6b
Unnamed 13,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.48361,-97.677067,Pyxine subcinerea Stirt.,2609306,15,8b
Unnamed 14,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.547485,-97.626023,"Hypena scabra (Fabricius, 1798)",9579730,15,8b
Unnamed 15,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.540628,-97.6724,"Metaltella simoni (Keyserling, 1878)",2143658,15,8b
Unnamed 16,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.563314,-97.779129,"Schizocosa avida (Walckenaer, 1837)",2146884,15,8b
Unnamed 17,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.573628,-97.719721,"Hypena scabra (Fabricius, 1798)",9579730,15,8b
Unnamed 18,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.41316,-97.707936,"Spodoptera ornithogalli Guenée, 1852",5109845,15,8b
Unnamed 19,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.551746,-97.749065,"Nesticodes rufipes (Lucas, 1846)",2157984,15,8b
Unnamed 20,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.48551,-97.635575,"Udea rubigalis Guenée, 1854",1887122,15,8b
Unnamed 21,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.152063,-76.601645,Verbascum thapsus L.,3171949,5,7b
Unnamed 22,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.651036,-74.008316,"Accipiter cooperii (Bonaparte, 1828)",2480621,5,7b
Unnamed 23,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.500658,-76.610571,"Corvus brachyrhynchos C.L.Brehm, 1822",2482507,0,7a
Unnamed 24,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.658905,-74.006128,"Falco peregrinus Tunstall, 1771",2481047,5,7b
Unnamed 25,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.945267,-77.048217,"Anas platyrhynchos Linnaeus, 1758",9761484,0,7a
Unnamed 26,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.014194,-80.114986,"Hemiramphus brasiliensis (Linnaeus, 1758)",2368950,35,10b
Unnamed 27,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.852273,-77.795443,"Terrapene carolina (Linnaeus, 1758)",2443173,0,7a
Unnamed 28,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.722453,-75.764587,"Haliaeetus leucocephalus (Linnaeus, 1766)",2480446,0,7a
Unnamed 29,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.976443,-76.945531,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,0,7a
Unnamed 30,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.835233,-77.62492,"Marmota monax (Linnaeus, 1758)",2437368,0,7a
Unnamed 31,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.412115,-95.340576,"Thryothorus ludovicianus (Latham, 1790)",2493801,15,8b
Unnamed 32,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.81285,-80.058908,Momordica charantia L.,2874581,35,10b
Unnamed 33,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.460329,-86.802589,"Vulpes vulpes (Linnaeus, 1758)",5219243,10,8a
Unnamed 34,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.838511,-77.619657,"Meleagris gallopavo Linnaeus, 1758",9606290,0,7a
Unnamed 35,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.649641,-72.94917,Lycopodium clavatum L.,2688393,-20,5a
Unnamed 36,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.648637,-72.949186,Plicaturopsis crispa (Pers.) D.A.Reid,2526725,-20,5a
Unnamed 37,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.484642,-80.161811,Fagus grandifolia Ehrh.,2882274,-5,6b
Unnamed 38,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.714037,-82.280021,Hypericum cistifolium Lam.,3189466,20,9a
Unnamed 39,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.391411,-76.373492,"Mustela richardsonii Bonaparte, 1838",9134203,-15,5b
Unnamed 40,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.105116,-82.410174,"Osteopilus septentrionalis (Duméril & Bibron, 1841)",2428083,30,10a
Unnamed 41,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.173103,-82.651793,Tillandsia usneoides (L.) L.,2695149,15,8b
Unnamed 42,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.173102,-82.651814,Smilax glauca Walter,5295374,15,8b
Unnamed 43,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.621942,-77.651688,"Melospiza georgiana (Latham, 1790)",2492235,0,7a
Unnamed 44,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.622812,-77.650938,"Cyanocitta cristata (Linnaeus, 1758)",2482593,0,7a
Unnamed 45,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.622678,-77.651017,"Melospiza melodia (A.Wilson, 1810)",2492196,0,7a
Unnamed 46,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.622812,-77.650933,"Melospiza georgiana (Latham, 1790)",2492235,0,7a
Unnamed 47,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.458175,-73.253655,"Noctua pronuba Linnaeus, 1758",1789695,-15,5b
Unnamed 48,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.622845,-77.650917,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,0,7a
Unnamed 49,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.806726,-71.250399,"Odocoileus virginianus (Zimmermann, 1780)",2440965,-5,6b
Unnamed 50,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.623567,-77.650637,"Branta canadensis (Linnaeus, 1758)",5232437,0,7a
